,Unnamed: 0,participant_id,date,category,duration
272,272,EN00046,2016-09-27,home,0.0
273,273,EN00046,2016-09-27,none,36179.0
274,274,EN00046,2016-09-28,health,900.0
275,275,EN00046,2016-09-28,home,7379.000000000001
276,276,EN00046,2016-09-28,none,63900.0
277,277,EN00046,2016-09-29,home,28860.0
278,278,EN00046,2016-09-29,none,14040.0
279,279,EN00046,2016-09-30,home,0.0
280,280,EN00046,2016-09-30,none,21960.0
281,281,EN00046,2016-10-01,none,41759.0
282,282,EN00046,2016-10-02,none,53700.0
283,283,EN00046,2016-10-02,place_of_worship,4980.0
284,284,EN00046,2016-10-03,home,3780.0
285,285,EN00046,2016-10-03,none,1080.0
286,286,EN00046,2016-10-04,dining_out,600.0
287,287,EN00046,2016-10-04,home,10799.0
288,288,EN00046,2016-10-04,none,8880.0
289,289,EN00046,2016-10-05,home,26400.0
290,290,EN00046,2016-10-05,none,49199.0
291,291,EN00046,2016-10-06,none,41640.00000000001
292,292,EN00046,2016-10-07,none,18840.0
293,293,EN00046,2016-10-08,home,0.0
294,294,EN00046,2016-10-08,none,7980.000000000001
295,295,EN00046,2016-10-09,home,0.0
296,296,EN00046,2016-10-09,none,21239.0
297,297,EN00046,2016-10-10,none,37740.0
298,298,EN00046,2016-10-11,home,47819.0
299,299,EN00046,2016-10-11,none,0.0
300,300,EN00046,2016-10-12,home,40080.0
301,301,EN00046,2016-10-12,none,10380.0
302,302,EN00046,2016-10-13,home,0.0
303,303,EN00046,2016-10-13,none,22860.0
304,304,EN00046,2016-10-14,home,0.0
305,305,EN00046,2016-10-14,none,12299.0
306,306,EN00046,2016-10-14,personal_services,3360.0
307,307,EN00046,2016-10-15,home,0.0
308,308,EN00046,2016-10-15,none,52920.0
309,309,EN00046,2016-10-16,home,46259.0
310,310,EN00046,2016-10-16,none,0.0
311,311,EN00046,2016-10-17,home,33120.0
312,312,EN00046,2016-10-17,none,20400.0
313,313,EN00046,2016-10-18,none,18360.0
314,314,EN00046,2016-10-19,home,9180.0
315,315,EN00046,2016-10-19,none,0.0
316,316,EN00046,2016-10-20,home,0.0
317,317,EN00046,2016-10-20,none,22020.0
318,318,EN00046,2016-10-21,home,1500.0
319,319,EN00046,2016-10-21,none,2880.0
320,320,EN00046,2016-10-22,home,8640.0
321,321,EN00046,2016-10-22,none,4800.0
322,322,EN00046,2016-10-23,none,19379.0
323,323,EN00046,2016-10-24,dining_out,360.0
324,324,EN00046,2016-10-24,home,0.0
325,325,EN00046,2016-10-24,none,61860.00000000001
326,326,EN00046,2016-10-25,health,1740.0
327,327,EN00046,2016-10-25,home,13499.0
328,328,EN00046,2016-10-25,none,8040.0
329,329,EN00046,2016-10-26,home,27120.0
330,330,EN00046,2016-10-26,none,47699.0
331,331,EN00046,2016-10-27,home,4920.0
332,332,EN00046,2016-10-27,none,75299.0
333,333,EN00046,2016-10-28,none,63540.00000000001
334,334,EN00046,2016-10-29,home,0.0
335,335,EN00046,2016-10-29,none,13380.0
336,336,EN00046,2016-10-30,none,39119.0
337,337,EN00046,2016-10-31,home,11159.0
338,338,EN00046,2016-10-31,none,54360.0
339,339,EN00046,2016-11-01,home,27660.0
340,340,EN00046,2016-11-01,none,9720.0
341,341,EN00046,2016-11-02,home,13379.0
342,342,EN00046,2016-11-02,home_store,3480.0
343,343,EN00046,2016-11-02,none,0.0
344,344,EN00046,2016-11-03,consumer_goods,840.0
345,345,EN00046,2016-11-03,home,30900.000000000004
346,346,EN00046,2016-11-03,none,42119.0
347,347,EN00046,2016-11-04,home,4260.0
348,348,EN00046,2016-11-04,none,54360.0
349,349,EN00046,2016-11-05,home,0.0
350,350,EN00046,2016-11-05,none,30240.0
351,351,EN00046,2016-11-06,home,10260.0
352,352,EN00046,2016-11-06,none,19259.0
353,353,EN00046,2016-11-07,none,52500.0
354,354,EN00046,2016-11-08,home,2400.0
355,355,EN00046,2016-11-08,none,17520.0
356,356,EN00046,2016-11-09,home,0.0
357,357,EN00046,2016-11-09,none,19919.0
358,358,EN00046,2016-11-10,home,0.0
359,359,EN00046,2016-11-10,none,33360.00000000001
360,360,EN00046,2016-11-10,supermarket,2160.0
361,361,EN00046,2016-11-11,none,14460.0
362,362,EN00046,2016-11-12,none,10980.0
363,363,EN00046,2016-11-13,home,0.0
364,364,EN00046,2016-11-13,none,7380.000000000001
365,365,EN00046,2016-11-14,home,0.0
366,366,EN00046,2016-11-14,none,36479.0
367,367,EN00046,2016-11-15,consumer_goods,2700.0
368,368,EN00046,2016-11-15,home,0.0
369,369,EN00046,2016-11-15,none,43560.0
370,370,EN00046,2016-11-16,none,10320.0
371,371,EN00046,2016-11-17,none,1260.0
372,372,EN00046,2016-11-18,home,0.0
373,373,EN00046,2016-11-18,none,7800.0
374,374,EN00046,2016-11-19,home,0.0
375,375,EN00046,2016-11-19,none,9960.0
376,376,EN00046,2016-11-20,home,0.0
377,377,EN00046,2016-11-20,none,10860.0
378,378,EN00046,2016-11-22,finance,3300.0
379,379,EN00046,2016-11-22,none,26340.0
380,380,EN00046,2016-11-23,home,0.0
381,381,EN00046,2016-11-23,none,49019.0
382,382,EN00046,2016-11-24,home,43199.0
383,383,EN00046,2016-11-24,none,41580.0
384,384,EN00046,2016-11-25,home,40620.0
385,385,EN00046,2016-11-25,none,38339.0
386,386,EN00046,2016-11-26,none,54660.0
387,387,EN00046,2016-11-27,home,0.0
388,388,EN00046,2016-11-27,none,8280.0
389,389,EN00046,2016-11-28,home,27719.0
390,390,EN00046,2016-11-28,none,2340.0
391,391,EN00046,2016-11-29,home,27660.0
392,392,EN00046,2016-11-29,none,21120.0
393,393,EN00046,2016-11-30,none,25620.0
394,394,EN00046,2016-12-01,home,0.0
395,395,EN00046,2016-12-01,none,22380.0
396,396,EN00046,2016-12-02,home,1679.0
397,397,EN00046,2016-12-02,none,47280.0
398,398,EN00046,2016-12-03,home,27120.0
399,399,EN00046,2016-12-03,none,32220.000000000004
